stratum,country,seasonality,cropland,human_settlemt,HDI_mean,slope,soil,human_desnity,percent_perm_water,percent_seasonal_water,ROL,BDH,prop_in_PA,RoadArea,rainfall,livestock_biomass,TreeCover
Mountain Zebra National Park,South Africa,0.10077301,0.007,0.014,0.580273747,4.559731882,19.54679262,13.44279326,0.008340524,0.047710636,0.13887075,63.2,0.009038812,1.267882768,465.8796821,0,33.3678344
Mavinga,Angola,0.059167051,0.081,0,0.365453184,0.426310247,8.066980815,1.356064565,0.001352441,1.876251256,-1.211364667,39.3,0.527297836,0.448088138,848.9454044,0.442480698,54.10721957
Stefans Game Reserve,Angola,0.057481515,0,0,0.365453184,0.370849413,5.099017872,2.733806532,0.001159915,0.089674094,-1.211364667,39.3,1.33E-15,0,706.8402938,0.616916003,53.85491351
Cuito-Okavango,Angola,0.087177788,1.263,0.01,0.416642457,0.266875055,7.027877732,5.386075226,0.351756381,1.486601533,-1.211364667,39.3,0.432233852,0.680914907,587.1373793,0.315677835,46.70075315
Likuwa Core,Angola,0.077215185,0.019,0,0.365453184,0.178726443,6.738786365,0.911328153,9.26E-05,0.027276857,-1.211364667,39.3,1,1.385433356,660.9872374,0.644669263,52.87285946
Likuwa10km,Angola,0.065088103,0.021,0,0.365989197,0.191173177,4.972266024,0.88732243,0,0.028799853,-1.211364667,39.3,0.601824281,0.523111287,660.9015495,0.258372421,53.32399892
Western Luiana,Angola,0.062879024,0,0.001,0.378672392,0.057878018,5.378689644,1.136123725,0,0.001022167,-1.211364667,39.3,0.924532088,0.083147212,616.5296529,0.691385592,55.08506316
MucussoLuianaNamBorder,Angola,0.072975909,0.001,0,0.428409536,0.075675211,6.41817209,1.778526901,0,3.49E-05,-1.211364667,39.3,0.994217637,0.289547016,595.2925592,0.219739579,52.10157184
Likuwa,Angola,0.050533015,0.004,0,0.365453184,0.112685135,6.766366897,1.210377681,0.000654398,0.507441922,-1.211364667,39.3,0.835198833,0.702221502,656.9586324,0.441521192,58.66689144
Kwando_angola,Angola,0.068387102,0.041,0.002,0.403092621,0.107678585,8.664944014,2.986372663,0.007393377,0.474823627,-1.211364667,39.3,0.97043295,0.506884849,637.9625987,0.316363271,52.18979376
