,stratum,country,seasonality,cropland,human_settlement,slope,soil,human_density,percent_perm_water,percent_seasonal_water,ROL,BDH,prop_in_PA,RoadArea,rainfall,livestock_biomass,TreeCover,HDI_mean
1,Kazuma Forest Reserve,Botswana,0.065262289,0.035,0.041,0.154768786,9.518447225,1.978062516,0,0.026718335,0.638451633,91.6,0.729718387,1.446080949,485.6501899,0,69.64974889,0.698
2,total count,DRC,0.039044792,0.002,0.005,0.440898376,NA,13.94884073,0.004560311,0.276329454,-1.582152833,73.3,NA,0.390566113,1681.984296,0,74.25785184,0.435
3,OlAriNyiro,Kenya,0.094630109,1.736,0,1.552954354,29.4187858,57.00371664,0.255378926,0.168137848,-0.7143295,53.5,0.15096869,0,888.9560248,0,73.49450305,0.55
4,SamburuBuff,Kenya,0.083424733,0.068,0.119,1.211965319,22.19264602,40.00520405,0.033166551,0.720359315,-0.7143295,53.5,0.761243013,1.20442371,650.0514852,0,53.01215224,0.555
5,CntMed4km,Kenya,0.097738402,0.042,0.025,1.609295415,14.38645092,20.3025151,0.057778834,0.272046268,-0.7143295,53.5,0.310726619,0.448010274,664.3022609,0,57.3891952,0.55
6,SenaOura_NP,Chad,0.039876884,9.857,0,0.641795301,8.79777023,38.19754563,0,0,-1.358005833,69,0.280578651,0.33,1096.587796,3.597554656,84.56061442,0.396
7,Nyahururu Forest,Kenya,NA,38.413,0.397,2.122786332,29.88200431,192.5892325,NA,NA,-0.7143295,53.5,NA,NA,NA,0,NA,NA
8,Makgadikgadi NP West,Botswana,0.114366882,0.056,0.069,0.082638555,7.486184849,3.315984317,0,0,0.638451633,91.6,0.555690714,0.325976551,330.0540324,0.481470282,55.29914144,0.698000014
9,Makgadikgadi East,Botswana,0.107357189,0.01,0,0.080611275,9.810550488,3.831346007,0,0,0.638451633,91.6,0.69884511,0.233458845,328.1791204,0.061015261,52.35729767,0.698000014
10,East Gweta total count,Botswana,0.072622051,2.144,0.01,0.050416976,7.169774011,4.227520238,0,0,0.638451633,91.6,0.335652462,1.565916649,343.8400649,10.72549328,53.968234,0.698000014
11,NG37 Ngami,Botswana,0.136089148,0.003,0.052,0.178842164,9.242441917,2.245571053,0,0,0.638451633,91.6,0.941835416,0.315620242,368.1738035,1.34934346,62.76279092,0.698000014
12,NG35 South,Botswana,0.099288285,0.007,0.149,0.061964733,6.839757893,2.279870149,0,1.125528673,0.638451633,91.6,1,0.764413075,379.7876171,1.489792791,61.06049537,0.698000014
13,"NG27a, 27b and 30",Botswana,0.076810169,0,0.005,0.061368405,12.20019254,2.372786928,0.003617343,14.04722779,0.638451633,91.6,1,0.097613594,391.462017,2.07837704,57.27363664,0.698000014
14,CT4 and 7,Botswana,0.066708431,0.464,0.012,0.088651266,7.225614159,4.743375453,0,0.036289215,0.638451633,91.6,0.505462742,0.265871717,361.0181355,1.177513713,63.29094272,0.698000014
15,NG35 North,Botswana,0.083547741,0.006,0.148,0.068839737,9.529956619,2.375709708,0.113152959,7.724559835,0.638451633,91.6,1,0.602895797,396.5156168,5.914540329,63.29074748,0.698000014
16,NG29,Botswana,0.071689943,0.078,0,0.053170719,8.425473798,2.172829912,3.73E-05,8.302675895,0.638451633,91.6,1,0.064702281,382.6159234,1.780216511,59.14259334,0.698000014
17,NG41 Mababe North,Botswana,0.089776067,0.108,0.017,0.110462659,7.450480591,2.247933348,0.00233349,0.045792021,0.638451633,91.6,0.999904952,0.863361453,404.3749454,1.971847564,61.83769512,0.698000014
18,NG12,Botswana,0.060296978,0.061,0.027,0.051068661,9.325061078,1.359161884,0.005089067,4.86818185,0.638451633,91.6,1,0.455783126,418.0809825,0.88901433,59.4940647,0.698000014
19,Rakops,Botswana,0.114668024,0.466,1.194,0.054360686,10.12686739,3.230857707,0,0,0.638451633,91.6,0.11121926,0.512395882,300.3830785,10.33386257,55.79333944,0.698000014
20,Nxai Pan NP,Botswana,0.080516401,0.011,0.004,0.071509588,7.145179792,2.987768734,0,0,0.638451633,91.6,0.887003039,0.323810656,360.860938,0.046080748,61.60366192,0.698000014
21,NG47 and 49 Nxai,Botswana,0.089580096,0.033,0.019,0.074325079,7.038758476,2.446873017,0,0.000226899,0.638451633,91.6,0.826930547,0.406039191,364.3957502,1.042598414,64.74269627,0.698000014
22,NG32,Botswana,0.076096051,0.001,0.011,0.054874342,12.83378873,2.375747088,0.071690908,12.20558326,0.638451633,91.6,1,0,399.6645918,2.318183692,57.29519253,0.698000014
23,NG31 and 17 Chitabe,Botswana,0.06305394,0.004,0,0.06558284,11.89348848,2.3745477,0.03970803,2.30011958,0.638451633,91.6,1,0,402.5106388,11.2427262,59.41288313,0.698000014
24,NG26,Botswana,0.067182339,0.015,0,0.05542338,12.4141897,1.852620912,0.000410214,13.48575857,0.638451633,91.6,1,0,386.0069642,1.539645831,56.55438929,0.698000014
25,NG34,Botswana,0.0787388,0,0.046,0.073116144,5.807891156,2.378733647,0.000963836,0.628819339,0.638451633,91.6,0.999874152,0.35061881,398.3580122,3.406857053,63.7687113,0.698000014
26,NG 43 Mababe South,Botswana,0.112114311,0,0,0.064720566,4.709996163,2.37771093,0,0.000192973,0.638451633,91.6,1,0.494055333,394.5607299,3.563081523,58.47561362,0.698000014
27,NG25,Botswana,0.069385243,0.002,0,0.050611972,18.56816998,1.719796764,0.003899838,16.60998635,0.638451633,91.6,1,0,390.5012286,2.590376708,52.60512068,0.698000014
