Survey Area,RCP8.5 Megafauna biomass,RCP4.5 Megafauna biomass
152,-112.7994254,-84.63475633
153,-8.440493471,-42.7422914
154,-22.92316598,-47.25271747
155,-251.1579162,-269.6027184
159,-7.836924128,-70.27146942
163,295.6157014,-0.864244271
164,83.66239401,-143.9311085
165,105.4311883,-80.27515079
169,78.12033078,-44.44478603
4a,-429.3607764,1.340412094
Amboseli High Core,-222.501173,-349.0719167
Bousso,89.45703071,106.7087555
CH1,-1891.051575,-1961.973728
Chewore I,527.0527065,609.2617326
Chilojo B,-725.9000973,-688.416413
Chipinda Pools,-1528.086082,-1337.954325
Chitima 1,52.44861349,-0.204322532
Chobe River,-1023.672845,-1081.017982
Cuito-Okavango,307.6283419,223.0325954
Dandari,596.1599474,137.9477486
Gatche Gatche,67.43407153,10.51231287
Guelendeng,-44.15622139,-56.66283235
Hurungwe,-310.4833711,66.60926976
Ishasha,-72.96453119,-11.62092952
KA,-200.6906558,-37.79707013
Kadze West,36.59818935,-4.12027067
Kasungu NP,157.0140306,-373.0761794
Kazungula,26.0712409,3.800539111
KB,-185.5389481,-9.329289268
KC,672.5831616,72.23656094
KD,-249.6555328,-185.1708821
Kwando_angola,-532.6451955,-41.93416525
L3,-48.82787603,90.46225675
L4,135.1412619,62.4295652
L5,95.84683421,61.09918244
L7,49.03715899,68.56034313
LC,218.5020011,-347.0349131
Limp. west,-260.8439484,-124.1062089
Liwonde NP,-565.8712529,-306.8529062
Lzam,-396.3763801,-109.5635241
Magoe 1,-710.1235391,-246.8052415
Magoe 2,-601.8529738,-457.8482472
Magoe 3,45.46280002,22.91044328
Makumbura 1,-293.2978306,66.28935144
Mana I,-833.351735,-184.0837458
Marromeo Buffalo R,-1654.898773,-1691.230904
Matusadona East,-73.06979541,-112.2576845
Matusadona West,-574.2661824,39.73020827
Mecucoe,42.47317469,21.74354732
Meru,-45.2238863,107.9988076
MFNP,-62.95323938,8.854842162
Moremi,-951.6086967,-867.5927531
Mphende,8.805856024,11.34864162
Mwenda,-375.9537201,2.4197388
NG11 and 10,-417.6141543,-506.0323349
NG12,-509.0157761,-1099.786633
NG14,938.7788433,599.4659911
NG15,867.1967099,119.718599
NG16,-349.6518573,-1810.579492
"NG18, 19 Khwai",292.7495389,163.1597086
"NG20, 21 Splash",-571.8290793,-600.5655389
NG22Vumbra,-2219.653718,-1792.319016
NG23Duba,-698.0066297,-1562.518949
NG24,-268.0459209,-358.1177241
NG25,-19.90399068,395.0261391
NG26,-82.7789942,-362.6133279
"NG27a, 27b and 30",-2609.645792,-1940.140181
NG29,-145.9559065,-460.5593016
NG31 and 17 Chitabe,-531.7637803,-637.3571241
NG32,-2633.831117,-2298.779193
NG34,449.147143,451.9959132
NG35 North,-142.3762949,-212.5832255
NG35 South,-2.031043533,-16.0861418
NG41 Mababe North,-2936.225932,-2043.142428
Ngamo,330.0313124,-179.7694955
Ngwasha and Sepako,157.9941128,-44.23270376
Niassa ext. west,-1.667793045,-1.61624719
North Charara,24.59903909,-28.10680721
QENP North,-203.8954874,-150.3991717
R1,193.2227193,-21.39863893
R5,115.5293886,98.06986428
R6,152.7169476,261.4416489
Rifa,-493.9341661,-75.10710193
Sapi North,-311.6312017,-343.2994804
Sibilobilo,-478.1568003,-51.17861557
Sinamatella,559.9393651,387.3593411
Tsavo High Core,-748.0429123,-862.2253704
Virunga NP,32.52853674,42.25107074
West Okavango,330.9233161,267.5911589
Zumbo,-67.67657418,-48.7305928
Marakele National Park,5.877770668,-30.87275573
Majete Wildlife Reserve,-156.8833169,-167.6900511
Gorongosa National Park,-78.53032966,-45.30093996
Akagera,-52.75328628,-31.8456325
MaputoSR,-132.1916859,-49.10284094
Faro,-158.5277678,-158.8186918
Buffalo_MahangoNP,-259.886817,-703.5480052
Buffalo_MahangoNP,-259.886817,-703.5480052
Kwando_namibia,653.7537837,120.0912956
Susuwe,-223.9240087,-416.0341257
Zambezi_South,719.7325437,366.0691457
NgarambeTapikaWMA,-166.1495523,-141.4247187
SelousGR,56.84425592,35.4575857
1,177.1085504,131.7272105
156,-288.407136,-255.4432154
157,764.1636658,427.3231689
158,-89.39913596,-130.3113668
160,126.0307938,-25.07659296
162,573.9713085,-4.155421326
167,391.7426091,226.2025166
168,214.085576,66.15857091
170,-21.77834381,288.2436649
171,-236.9925512,-19.25319513
1a,-64.25148357,-118.7508936
2,-935.0167942,-999.2205829
3,-1486.25755,-1641.877519
4,-1706.478989,-1600.634988
5,-1499.613647,-1685.601411
Addo Elephant Park,-31.05993154,51.7220924
Amboseli Medium North,-170.6710352,-431.2412838
Benoue_all,-119.0952884,-90.42567159
Border Chefu,-0.343857737,3.626113946
Border Maunge,14.34080982,5.16535949
BoubaNP,-145.8276262,-142.4445753
Busi,-42.29467228,1.617258144
Bwabwata,22.7585119,64.27781188
Central A,59.3021835,16.99458149
Central B,34.24432915,19.6815279
CentralHigh,-49.43760936,-65.08352328
CH2 Chobe FR,448.639924,-68.29517661
CH5,-376.2161734,-398.4070786
"CH7, 8, 11 and 12",397.1717547,-59.17430496
Chefu,-460.3314595,-85.29366728
Chete West,563.3511442,49.24598963
Chewore II Hills,109.1916142,33.88157752
Chilojo A,239.5956194,174.8764873
Chimpembere,60.57778213,38.76557212
Chinamba,813.6989797,343.588475
Chinthole 1,-33.60419364,-64.28806426
Chirisa Sengwa,93.9948511,440.4732181
Chizarira East,1036.281778,18.95469858
Chizarira West,-4.900271772,435.7550868
Chobe Mababe,30.85262779,-37.72444151
Chobe Savuti,395.3135144,343.0302264
CntMed4km,-83.65388872,-73.91649844
CT1 and CT2,-37.30752068,59.56746902
CT4 and 7,-23.2190218,-51.47621822
Dande,357.4579904,492.2284162
Dzivanini,684.7468729,873.0551816
EastHigh,-1306.196628,-931.6528515
EastLow8km,-925.481228,-694.3524338
Etosha,-311.970728,-318.521288
High Core,-8.840404767,-64.9234994
HiP,-394.3492798,-424.3663872
Hurungwe I,493.3375247,560.0528022
Kadze East,-148.6808131,-96.32579428
Kalahari Gemsbok National Park,-193.0196562,-273.4673681
Kasane FR,953.3688849,-25.63091734
Kazuma,124.1296044,50.28728866
Kazuma Forest Reserve,859.4205544,688.3910157
Kruger National Park central,-1006.314362,-1077.46359
Kruger National Park Far North,-177.2291657,31.64939924
Kruger National Park North,-169.5409546,-165.7927573
Kruger National Park South,-783.6422682,-207.7445024
KwaKuchinja,362.8939633,141.2890064
Kwando5km,-150.4924782,-18.09071365
L1,284.1384511,333.4036455
L2,5.489138832,3.932591138
L6,-14.15081641,-122.9140315
L8,162.0612861,151.5155449
L9,-36.36756501,-104.1384288
LA,-51.44342549,-10.08450464
LakeManyaraNP,168.8354809,-486.2681491
LB,426.4875077,33.90377914
LD,184.5762687,74.34812884
Likuwa,-258.3494158,-243.3925006
Likuwa Core,-212.6146792,-72.46607664
Likuwa10km,87.10386452,49.67780049
Limp. east,51.09186108,197.8920531
Limp. ext.,233.2979148,-97.79162379
Limp. ext. 1,-0.740577696,-8.171833036
Limp. north,121.7048892,97.65437111
Lolkisale,16.12548316,-73.05948827
LorianSwamp,0,0
Low,-63.34995197,-55.12044543
Luangwa,156.3879114,91.97325687
Mabalauta NP,-246.7529763,-23.80939718
Magoe 5,-316.0073441,-79.46461745
Main Camp,178.8238397,57.48620228
