Region,non_ruminants_rcp4.5,non_ruminants_rcp8.5,browser_rcp4.5,browser_rcp8.5,SNSBrowsers_rcp4.5,SNSBrowsers_rcp8.5,mixed_feeder_rcp4.5,mixed_feeder_rcp8.5,grazer_rcp4.5,grazer_rcp8.5,elephant_rcp4.5,elephant_rcp8.5
East Africa,12.54153258,18.54367263,0,0,0,0,0.96717262,0.9806366,-1.613544466,-1.613544466,0,0
East Africa,-35.59682727,-1.295029342,-7.1467591,-7.1467591,0.001294971,0.001294971,2.50105286,5.19759179,0,0,0,0
East Africa,8.63228475,9.98456814,0,0,0,0,1.16144752,1.47195625,-3.987663268,-3.504169468,0,0
East Africa,-6.48841857,14.20889278,-0.5564423,0,0.001107097,0.001107097,0.4144249,0.42711258,-11.85083382,-11.79894632,0,0
East Africa,-9.485680145,1.891759415,-3.0498658,-0.7087403,-0.001865328,-0.001293361,-11.43189048,4.281087881,-8.839420318,-13.57660294,0,0
East Africa,5.149623111,68.58684274,0,0,0,0.000349998,0.40542984,0.4395771,2.733660698,57.22974157,-797.954102,323.743652
East Africa,-4.87461665,68.75879761,0,0,0,0.000349999,-0.28938293,0.21339417,8.043457031,37.92062616,-366.0340881,305.8672481
East Africa,-12.19155884,-13.21013642,0,0,0,0,0.02117539,0.2610817,25.56985044,63.03408599,0,0
East Africa,1.5666657,-0.3086243,0,0,0,0,-0.14092255,-0.02171135,0,-3.006011963,0,0
Central Africa,1.1156006,-429.7701111,0,0,0.224811494,0.409334659,0,0,0,0,0,0
East Africa,-105.2399349,-102.1289158,-11.1927491,-11.1927491,0,0,-14.95644951,-2.41855049,-503.1024514,-485.0272942,910.300293,784.861816
Central Africa,19.34749324,14.89598377,0,0,0.134577691,0.249309837,0,0,-149.0750732,-154.2050781,-236.480468,-726.066772
Southern Africa,-61.67916006,-33.28107932,-35.70598123,-49.3066973,0,0,1.810729026,-9.053666115,-822.2773981,-1021.247051,-5152.7041,-7234.241213
Southern Africa,-1.99755273,0.13079643,-3.696090699,13.31372834,0,0,0,0,-0.701820284,8.517147812,-4845.542972,-2405.90332
Southern Africa,-29.49052433,-30.41697692,-9.088592608,-25.62566375,0.001369596,0.000699043,-4.116424561,-4.116424561,-200.2687873,-235.1594925,-2953.624023,-1454.461914
Southern Africa,-74.52169045,-70.35969544,-66.70083612,-80.20060726,0.001294971,0.001106143,-15.55384064,-11.31348419,-868.5874787,-914.17659,-1048.41601,-2034.041987
Southern Africa,12.1254883,12.8132019,0,0,0.153556138,0.159751266,0,0,-12.48336697,39.47566032,-433.834839,-202.682129
Southern Africa,-48.42086696,13.21389095,6.00452906,22.69157412,0,0,7.670284272,4.159540169,-71.70525789,-62.05879307,-652.41504,-1048.2295
Southern Africa,17.10807345,33.01400784,0.972739696,6.461780552,0,0,0,0,-80.69958495,-108.1658668,-236.83667,-1108.950928
Southern Africa,20.43658065,56.0701666,6.487353868,7.880980596,0,0,1.35174084,1.63027668,24.79170131,23.91037273,-1661.76465,-300.37402
Southern Africa,7.68437097,21.37581348,0,0,0,0,0,0,2.8279419,46.05825805,-290.6865997,2620.742432
Central Africa,-45.53933138,-33.04425619,-11.1927795,-11.1927795,0.162902653,0.174438417,2.2422657,2.44787979,0,0,0,0
Southern Africa,42.16581684,69.04997787,4.830736282,12.18840886,0,0,4.650913239,0.080471039,9.038639066,-44.48171044,-4396.14746,-3131.45898
East Africa,6.40547572,10.13755805,0,0,0,0,-0.0680809,-0.11305618,0,0,-1.568848,-12.815186
Southern Africa,-0.292246814,-0.564517029,-6.189489007,-74.73223162,0,0,-0.25295448,-0.31215191,-3.19527244,-42.70942162,74.0421448,1133.540314
Southern Africa,5.89152819,11.77598286,0,0,0,0,0,0,-10.01179886,24.82220649,0,0
Southern Africa,0.21835535,10.53790688,12.73569274,14.69470954,0,0.144796372,0,0,-58.80532074,-70.88188362,358.2789306,800.3620607
Southern Africa,-2.47037306,10.98774912,3.937032701,21.79486273,0,0,0,0,2.33387947,-6.711370944,-812.0023805,471.00293
Southern Africa,-1.02153397,-7.4133892,-1.142553329,-63.46813941,0.334886252,0.334886252,0,0,-20.13090562,-50.97701645,34.7752686,316.2382203
Southern Africa,2.92190555,10.39090731,8.248619083,-37.49953222,0,0.005506516,0.4683075,0.53220367,-2.418506625,-32.65115642,30.566894,241.000122
Southern Africa,4.90121844,0.71100042,-5.842644689,9.538787842,0,0,0.24291897,-1.26977062,0.754735949,-5.646242145,-48.900513,438.646485
Southern Africa,12.35085369,18.10074402,-9.469978323,-19.28075721,0,0,5.91209888,0.582210541,-47.01826096,-136.5515852,-516.0198363,-1315.305069
Southern Africa,2.73343277,6.06123543,0,0,0.004990817,0.005152703,11.54848862,0,-5.586614605,-19.60608673,-268.877197,399.923706
Southern Africa,6.707406036,15.57491017,0,0,0.000161886,0.000161886,4.218387604,3.791965485,9.062626848,5.699624071,-330.250489,153.360839
Southern Africa,31.43693729,83.62171171,7.762508394,7.801107412,0.130211174,0.100089609,0,0,9.178735735,-34.58308792,-611.3554992,60.5675049
Southern Africa,20.95750712,49.79812621,25.69852113,27.91585207,0.335124315,0.339292527,0,0,-9.40323681,-2.618750032,3.323608,818.397217
Southern Africa,-4.47832391,-27.58572197,-22.52379036,-4.612761025,0.137991771,-0.015932739,-0.089992523,-0.132247925,-50.51573801,-149.2293611,-1528.316407,-1440.392823
Southern Africa,22.94973611,34.22373151,-18.13729862,-26.76951601,0,0,0,0,11.48102712,7.18933916,-140.438232,-461.820312
Southern Africa,12.8345412,-292.2957916,-0.573196414,0.573120113,0.035557448,0.035557448,15.85429955,4.976493831,12.34752655,22.23420715,-1323.651856,-372.697754
Southern Africa,3.9278297,36.14442249,24.62576913,25.33570814,0.37242046,0.37242046,0,0,-9.074626452,-21.29600859,-58.114502,847.599365
Southern Africa,-43.48456673,-39.98854637,-20.13218772,17.53561651,0.161141481,0.605143573,0,0,-132.3875313,-159.1423607,-1721.868653,-1708.739746
Southern Africa,-14.42315482,-1.10211371,2.423303604,2.702386849,0,0,0,0,-195.3990555,-180.5482178,-431.920899,-1285.663086
Southern Africa,19.3026428,15.9026184,0,0,0.146142006,0.146142006,0,0,3.46165847,29.41403961,0,0
Southern Africa,-6.040556857,1.105221773,5.597916718,-0.733810065,0.151790143,0.152241112,0,0,-192.0639038,-221.9560547,44.972229,-323.80336
Southern Africa,19.00616273,-338.9773159,-0.794054034,11.91233635,0,0,-2.378631592,-2.378631592,-60.65575604,-100.2449389,-5571.80176,-2759.41601
Southern Africa,-43.88750645,-30.9554119,0,0,0.003351331,0.003351331,-10.96269226,0.213531494,-636.4596176,-634.3221855,699.740357,705.212037
Southern Africa,-50.04301072,-63.14673611,-36.02615428,-16.23721862,0,0,0,0,-26.18851955,6.314159317,716.16455,1283.295898
Southern Africa,2.105835,-376.3442688,0,0,0,0,0,0,-125.3687906,-129.7622452,521.113282,3267.902344
Southern Africa,6.01948165,1.00191879,20.28086853,46.96237374,0.111083865,0.632620454,0,0,-4.667886729,-6.123738289,0,0
East Africa,-37.78040314,-33.73036959,-6.3832617,-3.441223139,0.00150907,0.00150907,-1.789154052,-2.464326862,-139.9308186,-144.7455673,239.242676,-220.687744
East Africa,7.89132305,7.94079203,0,0,-0.009502888,-0.026599408,0.5471096,0.57470512,13.49316406,16.39550781,3.736694,-282.773437
Southern Africa,-94.12358276,-146.2406444,-26.01538853,-15.90907291,0,0,1.469454766,5.406331066,-773.5231204,-990.9437232,-4340.567867,-6387.121089
Southern Africa,11.2011108,8.6583252,0,0,0.147530824,0.147530824,0,0,0,0,160.1193848,-301.8322448
Southern Africa,2.4197388,-375.9537201,0,0,0,0,0,0,0,0,-883.0910302,551.7126809
Southern Africa,-72.31139366,-21.95189277,-5.243034602,-9.421049356,0,0,0,0,-371.8513193,-434.6800547,-2250.054688,-4290.524902
Southern Africa,-97.71459964,-123.1553554,-27.32618569,-8.833202833,0,0,1.376152992,2.562230109,-763.9558029,-846.3932476,-3071.93847,-8806.796872
Southern Africa,-60.06059829,-54.05961322,-49.38705735,-28.60132365,0,0,-13.59119606,-10.10266399,-615.9332161,-810.932826,-881.611328,-2133.993652
Southern Africa,-56.76590542,-61.01765059,-44.67199707,-18.81986874,0,0,0,0,-538.2660451,-535.353467,-638.599605,-3304.614254
Southern Africa,-98.21786122,-98.18779944,-48.20553501,-28.82207163,0,0,-14.06270361,-3.22843504,-741.9430351,-784.513298,-3823.492187,-6380.626953
Southern Africa,-57.37316655,-22.98363637,-36.10174485,-26.24365419,0,0,1.467000485,3.389596462,-759.9644871,-814.1970463,882.383057,-232.314941
Southern Africa,-110.0988398,-101.8698015,-20.83730038,-6.686438644,0,0,-14.30565071,-0.445350647,-789.4200702,-984.2534103,-3597.336912,-7342.539549
Southern Africa,-136.1657363,-146.9118395,-37.72077479,-40.71663761,0,0,0.935269356,4.019588473,-804.3275261,-998.871191,-3484.274902,-6923.185059
Southern Africa,-146.2042884,-170.1029948,-32.41973876,-10.7397728,0,0,0.95637989,4.7709713,-710.5487323,-896.8505092,-1475.190918,-6371.828979
Southern Africa,-14.79467774,-27.99200826,0,0,0,0,0,0,-286.1583742,-320.3024476,691.891113,-1251.912842
Southern Africa,-111.2021876,-140.8368731,-36.61477668,-46.77449422,0,0,0,0,-759.3634395,-877.0592251,575.980469,-3140.637573
Southern Africa,-103.976344,-87.87199101,-29.14299774,-31.36382286,0,0,1.05427933,4.96740151,-763.9622498,-776.1359559,-984.043948,-5682.975588
Southern Africa,-135.6135493,-130.2208796,-50.221672,-52.7215461,0,0,1.161648754,5.838443754,-895.6787414,-970.6248779,-1654.154297,-6313.673584
Southern Africa,-94.57610793,-60.35906135,-34.93818278,-18.9987564,0,0,1.187662124,5.916308407,-838.6673279,-855.2377396,-3736.970703,-4794.468262
Southern Africa,-145.0495854,-146.5520211,-27.2507782,-20.68624878,0,0,1.3185873,5.12471962,-834.3066406,-1021.581787,-4391.531251,-6115.928223
