Species,LHFT
Ammodorcas clarkei,SNSB
Cephalophus adersi,SNSB
Cephalophus callipygus,SNSB
Cephalophus dorsalis,SNSB
Cephalophus harveyi,SNSB
Cephalophus jentinki,SNSB
Cephalophus leucogaster,SNSB
Cephalophus natalensis,SNSB
Cephalophus niger,SNSB
Cephalophus nigrifrons,SNSB
Cephalophus ogilbyi,SNSB
Cephalophus rufilatus,SNSB
Cephalophus silvicultor,SNSB
Cephalophus spadix,SNSB
Cephalophus weynsi,SNSB
Cephalophus zebra,SNSB
Dorcatragus megalotis,SNSB
Hyemoschus aquaticus,SNSB
Litocranius walleri,SNSB
Madoqua guentheri,SNSB
Madoqua kirkii,SNSB
Madoqua piacentinii,SNSB
Madoqua saltiana,SNSB
Neotragus batesi,SNSB
Neotragus pygmaeus,SNSB
Nesotragus moschatus,SNSB
Oreotragus oreotragus,SNSB
Pelea capreolus,SNSB
Philantomba maxwellii,SNSB
Philantomba monticola,SNSB
Raphicerus campestris,SNSB
Raphicerus melanotis,SNSB
Raphicerus sharpei,SNSB
Sylvicapra grimmia,SNSB
Tragelaphus scriptus,SNSB
Antidorcas marsupialis,S-MMF
Beatragus hunteri,S-MMF
Damaliscus lunatus,S-MMF
Eudorcas albonotata,S-MMF
Eudorcas rufifrons,S-MMF
Eudorcas thomsonii,S-MMF
Gazella dorcas,S-MMF
Gazella spekei,S-MMF
Nanger dama,S-MMF
Nanger granti,S-MMF
Nanger soemmerringii,S-MMF
Oryx beisa,S-MMF
Oryx gazella,S-MMF
Ourebia ourebi,S-MMF
Redunca redunca,S-MMF
Tragelaphus imberbis,S-MMF
Tragelaphus oryx,S-MMF
Capra walie,LSWDB
Giraffa camelopardalis,LSWDB
Okapia johnstoni,LSWDB
Tragelaphus angasii,LSWDB
Tragelaphus buxtoni,LSWDB
Tragelaphus derbianus,LSWDB
Tragelaphus eurycerus,LSWDB
Tragelaphus strepsiceros,LSWDB
Aepyceros melampus,MLSWDG
Alcephalus buselaphus,MLSWDG
Capra nubiana,MLSWDG
Connochaetes gnou,MLSWDG
Connochaetes taurinus,MLSWDG
Damaliscus pygargus,MLSWDG
Hippotragus equinus,MLSWDG
Hippotragus niger,MLSWDG
Kobus ellipsiprymnus,MLSWDG
Kobus kob,MLSWDG
Kobus leche,MLSWDG
Kobus megaceros,MLSWDG
Kobus vardonii,MLSWDG
Redunca arundinum,MLSWDG
Redunca fulvorufula,MLSWDG
Syncerus caffer,MLSWDG
Tragelaphus spekii,MLSWDG
Ceratotherium simum,LWDNR
Choeropsis liberiensis,LWDNR
Diceros bicornis,LWDNR
Equus africanus,LWDNR
Equus grevyi,LWDNR
Equus quagga,LWDNR
Equus zebra,LWDNR
Hippopotamus amphibius,LWDNR
Hylochoerus meinertzhageni,LWDNR
Loxodonta africana,LWDNR
Phacochoerus aethiopicus,LWDNR
Phacochoerus africanus,LWDNR
Potamochoerus larvatus,LWDNR
Potamochoerus porcus,LWDNR
