stratum,country,seasonality,cropland,human_settlement,slope,soil,human_density,percent_perm_water,percent_seasonal_water,ROL,BDH,prop_in_PA,RoadArea,rainfall,livestock_biomass,TreeCover,HDI_mean
MucussoLuianaNamBorder,Angola,0.066692384,0.001,0,0.075675211,6.41817209,1.778526901,0,4.26E-05,-1.211364667,39.3,0.994217637,0.289547016,600.8608247,0.219739579,21.60157184,0.541734686
Kwando_angola,Angola,0.062498692,0.041,0.002,0.107678585,8.664944014,2.986372663,0.008,0.578763212,-1.211364667,39.3,0.97043295,0.506884849,643.5308642,0.316363271,21.68979376,0.53932608
Kwando5km,Angola,0.043371474,0.051,0.001,0.072629427,7.316836836,2.798982504,3.00E-04,0.380972706,-1.211364667,39.3,0.574992287,0.643367341,699.5615385,0.456613298,22.89097246,0.538111104
Cuito-Okavango,Angola,0.078261377,1.263,0.01,0.266875055,7.027877732,5.386075226,0.3832,1.799773464,-1.211364667,39.3,0.432233852,0.680914907,592.8842975,0.315677835,16.20075315,0.534698405
Mavinga,Angola,0.054705457,0.081,0,0.426310247,8.066980815,1.356064565,0.0015,2.350266326,-1.211364667,39.3,0.527297836,0.448088138,853.9036145,0.442480698,23.60721957,0.532999992
Stefans Game Reserve,Angola,0.052788537,0,0,0.370849413,5.099017872,2.733806532,0.0014,0.133521872,-1.211364667,39.3,1.33E-15,0,709.8854167,0.616916003,23.35491351,0.532999992
Likuwa Core,Angola,0.070829896,0.019,0,0.178726443,6.738786365,0.911328153,1.00E-04,0.032990333,-1.211364667,39.3,1,1.385433356,666.7613636,0.644669263,22.37285946,0.532999992
Likuwa10km,Angola,0.05970566,0.021,0,0.191173177,4.972266024,0.88732243,0,0.03483234,-1.211364667,39.3,0.601824281,0.523111287,666.6756757,0.258372421,22.82399892,0.532999992
Western Luiana,Angola,0.05767926,0,0.001,0.057878018,5.378689644,1.136123725,0,0.001236272,-1.211364667,39.3,0.924532088,0.083147212,622.3037791,0.691385592,24.58506316,0.532999992
Likuwa,Angola,0.046354201,0.004,0,0.112685135,6.766366897,1.210377681,7.00E-04,0.613731932,-1.211364667,39.3,0.835198833,0.702221502,662.7327586,0.441521192,28.16689144,0.532999992
Kazuma Forest Reserve,Botswana,0.052157684,0.035,0.041,0.154768786,9.518447225,1.978062516,0,0.030130209,0.638451633,91.6,0.729718387,1.446080949,547.6666667,0,20.64974889,0.698
Makgadikgadi NP West,Botswana,0.085822191,0.056,0.069,0.082638555,7.486184849,3.315984317,0,0,0.638451633,91.6,0.555690714,0.325976551,378.02,0.481470282,6.299141439,0.698000014
Makgadikgadi East,Botswana,0.080562039,0.01,0,0.080611275,9.810550488,3.831346007,0,0,0.638451633,91.6,0.69884511,0.233458845,375.8726115,0.061015261,3.357297667,0.698000014
East Gweta total count,Botswana,0.054496402,2.144,0.01,0.050416976,7.169774011,4.227520238,0,0,0.638451633,91.6,0.335652462,1.565916649,393.8095238,10.72549328,4.968233995,0.698000014
NG37 Ngami,Botswana,0.101624731,0.003,0.052,0.178842164,9.242441917,2.245571053,0,0,0.638451633,91.6,0.941835416,0.315620242,427.8617021,1.34934346,13.76279092,0.698000014
NG35 South,Botswana,0.074143643,0.007,0.149,0.061964733,6.839757893,2.279870149,0,1.307998041,0.638451633,91.6,1,0.764413075,441.3583333,1.489792791,12.06049537,0.698000014
"NG27a, 27b and 30",Botswana,0.057358084,0,0.005,0.061368405,12.20019254,2.372786928,0.0097,16.32454763,0.638451633,91.6,1,0.097613594,454.9253731,2.07837704,8.273636638,0.698000014
CT4 and 7,Botswana,0.050058755,0.464,0.012,0.088651266,7.225614159,4.743375453,0,0.04156304,0.638451633,91.6,0.505462742,0.265871717,413.4840426,1.177513713,14.29094272,0.698000014
NG35 North,Botswana,0.067069187,0.006,0.148,0.068839737,9.529956619,2.375709708,0.3032,8.899115704,0.638451633,91.6,1,0.602895797,456.8076923,5.914540329,14.29074748,0.698000014
NG29,Botswana,0.053534549,0.078,0,0.053170719,8.425473798,2.172829912,1.00E-04,9.648695824,0.638451633,91.6,1,0.064702281,444.6451613,1.780216511,10.14259334,0.698000014
NG41 Mababe North,Botswana,0.072069068,0.108,0.017,0.110462659,7.450480591,2.247933348,0.0063,0.052754914,0.638451633,91.6,0.999904952,0.863361453,465.862069,1.971847564,12.83769512,0.698000014
NG12,Botswana,0.048404293,0.061,0.027,0.051068661,9.325061078,1.359161884,0.0154,5.608411932,0.638451633,91.6,1,0.455783126,481.6521739,0.88901433,10.4940647,0.698000014
Rakops,Botswana,0.086048172,0.466,1.194,0.054360686,10.12686739,3.230857707,0,0,0.638451633,91.6,0.11121926,0.512395882,344.037037,10.33386257,6.793339435,0.698000014
Nxai Pan NP,Botswana,0.060420411,0.011,0.004,0.071509588,7.145179792,2.987768734,0,0,0.638451633,91.6,0.887003039,0.323810656,413.304,0.046080748,12.60366192,0.698000014
NG47 and 49 Nxai,Botswana,0.067221909,0.033,0.019,0.074325079,7.038758476,2.446873017,0,0.000259874,0.638451633,91.6,0.826930547,0.406039191,417.352518,1.042598414,15.74269627,0.698000014
NG32,Botswana,0.061087233,0.001,0.011,0.054874342,12.83378873,2.375747088,0.1921,14.06149994,0.638451633,91.6,1,0,460.4354839,2.318183692,8.295192525,0.698000014
NG31 and 17 Chitabe,Botswana,0.050617485,0.004,0,0.06558284,11.89348848,2.3745477,0.1064,2.649863644,0.638451633,91.6,1,0,463.7142857,11.2427262,10.41288313,0.698000014
NG26,Botswana,0.053931618,0.015,0,0.05542338,12.4141897,1.852620912,0.0011,15.53633196,0.638451633,91.6,1,0,444.7011494,1.539645831,7.554389288,0.698000014
NG34,Botswana,0.063208739,0,0.046,0.073116144,5.807891156,2.378733647,0.0026,0.724434294,0.638451633,91.6,0.999874152,0.35061881,458.9302326,3.406857053,14.7687113,0.698000014
NG 43 Mababe South,Botswana,0.090001425,0,0,0.064720566,4.709996163,2.37771093,0,0.000222316,0.638451633,91.6,1,0.494055333,454.5555556,3.563081523,9.475613616,0.698000014
NG25,Botswana,0.055700032,0.002,0,0.050611972,18.56816998,1.719796764,0.0115,19.13561336,0.638451633,91.6,1,0,449.8787879,2.590376708,3.605120677,0.698000014
CT1 and CT2,Botswana,0.061254772,0.014,0,0.120395636,5.357272003,4.31635419,0,0.00013893,0.638451633,91.6,0.999991666,0.114268809,445.8171745,0.47525345,18.75392701,0.698000014
"NG41, 42, 43",Botswana,0.06473987,0.003,0,0.047809731,5.262387768,2.535977078,0,0.000172142,0.638451633,91.6,0.914958522,0.212576877,448.519174,0.405858384,16.84050657,0.698000014
Moremi,Botswana,0.051984831,0.012,0,0.060347679,11.67791298,2.17384441,0.1539,5.260427937,0.638451633,91.6,1,0.12257084,465.7016807,0.514267249,10.63326657,0.698000014
NG23Duba,Botswana,0.046916905,0.005,0,0.054967593,14.37076856,1.592028167,0.1202,4.87100939,0.638451633,91.6,1,0,463.8695652,2.8064238,7.592234045,0.698000014
NG24,Botswana,0.054612165,0.004,0.021,0.046510504,18.97854478,1.484793636,0.307,11.7057879,0.638451633,91.6,1,0,453.8333333,2.341204056,2.632424444,0.698000014
NG22Vumbra,Botswana,0.041625731,0,0.008,0.04953166,8.489022392,1.595322687,0.1206,3.87070365,0.638451633,91.6,1,0,475.7931034,1.612419895,10.1394827,0.698000014
Chobe Mababe,Botswana,0.069144739,0.005,0,0.074929256,12.70540576,1.936503336,0,0,0.638451633,91.6,0.999913238,0.214356755,712,0.090646096,14.5626037,0.698000014
"NG20, 21 Splash",Botswana,0.051858138,0,0.002,0.046670345,7.341827448,2.123914092,0.1006,1.840746111,0.638451633,91.6,1,0,484.655914,0.431703493,9.355261879,0.698000014
"NG18, 19 Khwai",Botswana,0.057764502,0,0.009,0.045307007,5.376148289,2.252122341,0.0041,0.142883678,0.638451633,91.6,1,0.124703241,486.9673913,0.567424418,12.95632986,0.698000014
NG16,Botswana,0.04908815,0,0,0.047897481,5.24079268,1.824585475,0.3166,1.916194804,0.638451633,91.6,1,0,502.1641791,0.46125083,9.926538744,0.698000014
